사업장명
르챔버
한추
묵전
볼트스테이크하우스
용용선생 강남역점
마코토 청담점
부쉬윅
코다차야 강남점
부엉이산장 강남점
다이닝 목로
달팽이포차
일곱잔
코다차야 신사점
지안정
크래프트한스 강남직영점
압편 압구정편의점
박고볼래 실내포차 논현점
동굴
야키토리 요이사
이자카야 신조
켄홈1991
트리블리 와인바
ING
코르바니w 가로수길점
백세주마을 삼성점
텔러스 9.5
거북썬2호점
와인코르크 강남점
와인주막차차 압구정점
비코드라운지
까사델비노 청담점
김작가의이중생활 신사가로수길점
지칸
페어링지
호사청담
하이볼가든
영심이와SECOND bar
아이언펍
유희
라운지칠
강남비치
잔비워
야키토리 토리키치 압구정로데오점
양철지붕 본점
낙타브루잉 논현점
인파밀리아 역삼점
식물원282
예술가
노퍼블릭 하우스
압쿠아맨포차
헤비스모커
모토이시 도산공원점
봉구비어 강남역2호점
김봉남포장마차 강남구청점
철수네포장마차
coc
슈바빙
레이아웃
이자카야 규네
재패니즈다이닝안심
수다 대치점
마코토 청담점
수다 삼성1호점
켄홈1991
야키토리 요이사
지칸
토가라시
수다 청담점
Lu307 이자카야
갓포 히미츠 X 뱅가드 하이파이 뮤직 라운지
코다차야 강남점
이자카야나무 강남역2호점
진도켄 이자카야
사이
이자카야 신조
쿠시일오이
수다 삼성2호점
센도수산
고우 청담점
이자카야나무 논현점
타이쇼
신사연어
로바타 라이브라 카운터
와라야키 쿠이신보
츄라우미 역삼본점
야키토리 토리키치 압구정로데오점
신사베베 이자카야
타츠야
센민이자카야
심야식당모모
우오하나
이자카야나무 대치점
하레이자카야
코지로
야키토리 토리키치 청담점
이노
하루
모로미쿠시 역삼초교점
연
켄카
교텐
도산사카바 카와세미
청담이상 강남역점
모토이시 도산공원점
키노에다
청담류 The First Izakaya
청담류 2호점 Meat Izakaya
구시야끼에독코
한남타츠 청담점
로바타 라이브라 ROOM
훈
로지
쇼쿠도카이
히까리
나미나미
베베르
스기타마
청담이상 논현영동시장점
강남 시소
이자카야 한잔
육다시오
와후진1호점
목로
이자카야 산
동경야시장 강남점
더 간사이
야다이
토리니쿠
춘풍월
아리네술상
이자카야 겸
이자카야겸 2호점
겐비이자카야
아리
갓포_
남오토코 대치점
료하나
오다
청담이상 차병원점
나리 강남구청본점
오레노유메 선릉본점
야신
사이야 강남일원동점
705사케집 선릉점
이자카야 운좋은 횟집
기세끼 선릉점
피에스타
풍
오조이자카야
남오토코 역삼점
노보루
이자카야 담
역삼735
울트라맨 이자카야
마고꼬로
미스사케
행복
초후
월풍월
아오이
오사카부루스
도리마루
코코로
쯔끼엔
이자카야화분
_사이 모즈
미인이자카야포차
청담돈
오와리 본점
다이닝 목로
이자카야 돈
만주
사사노하
사케쇼프
토우지
심야식당 후타리
이로우
호루몬규상
후토
한남타츠
이치고
쇼헤이
이태원천상 이태원본점
올리버
이치에
하레
미나미 하나레
갓포아키 도산공원점
이자카야나무 강남역3호점
은하수
로바타탄요
콘유
팔월팔일
아키노유키 천호점
도쿄사이카보 청담본점
소신
야키토리 로만
심야식당 하리
이자카야 찌유
아쿠슈
이케맨이자카야 강남본점
스시산원 반주헌
코후쿠
아카루이
퍼플
텐바
소담히
갓포이든
하래
작야
토리아에즈
히비
일양전
문타로 이태원점
스시우찌
노나메
죠렌
요시
한토리
이자카야 공감 강남역점
찌마찌마
한남사계
이자카야 열
우랑
오레노 유메
모노로그
라온
다이닝무무 부제고운이네
유키노하나
모토쿠라시
타비
토라식당
아리노마마
이자카야마타
이자카야 코노미
로바타 나미
하시라도
심 이자카야 강남역점
오늘의하이라이트
심야식당추엌
사케리아 잇콘
미타우동
이자카야 오모
이자카야 인
와카이
하츠코이 오카
호별관
천호구르메 별관
토리아에즈
아지태
모토이시 송파방이점
요비
토리아에즈 가락점
사케츠바사
갓포더인
한남타츠 대사관로점
도톤보리
이자카야나무 4호점
록스플레이트
켄홈 방이점
유다 잠실새내점
하나미치
히야
신월
월당
도곡여울
코이
지금이밤
도키도키 이자카야
하리네즈미
컬렉션라운지
묵전
코타바이뎐
르챔버
한추
뻐꾸기 본점
김천재의육회반한연어 신논현본점
다이닝 목로
심퍼티쿠시 가로수길점
엘라
Lu307 이자카야
텔러스 9.5
레 부르주아
노메
우기식당
박고볼래 실내포차 논현점
수지상회 강남1호점
식스나잇
피헨
갓포 히미츠 X 뱅가드 하이파이 뮤직 라운지
구들
수다 삼성2호점
뉴아게
이썸
앨리스 청담
까사델비노 청담점
Bar Tea Scent
전봇대
센도수산
유희
서울러
이도
456포차
논현오뎅
_사이 모즈
올데이사운드바
로바다야끼 최군
크래프트한스 강남직영점
센야 본점
애니오케이션 베이스먼트
이자카야 공감 가로수길점
아리노마마
그리드 포 라운지
월스트리트
키보2
철수네포장마차
신사숙녀
장생건강원
이층집 닭도리탕
엠투포차
빌라레코드
하루
서울살롱
모로미쿠시 역삼초교점
제이제이비어
밤을걷는선비
배드라핀
개나리위스키
연
우기식당 육지2호점
르챔버
볼트스테이크하우스
노마드
벨뷰
컬렉션라운지
하이퍼서울
앨리스 청담
겟 올라잇
버틀러
이썸
오르빗
Coffee Bar K
Kompakt record bar
에이치 위스키 바
레솔베르 청담점
볼트82
투헌드레드
어슬렁
피터폴앤드메리
보바베어
내외 : NAEOE
디깅
어게인 위스키
아레나
비틀즈
재즈잇업
더 코난
프리버드
라메종드위스키
한양위스키
파크하얏트서울 시트러스바
페타테
세이브포인트
판도라
문리버클래식바
욜라운지
캐롤
마릴린몰트앤와인
위스키 바움
보이드
Kompakt record bar 2호점
Flash533
더위스키 역삼점
전자신발
더33
뮤아트 청담점
녹스
마론
Gold Bar
신라스테이역삼 바
오늘같은밤
도쿄째즈
씬
쎄븐 노래바
몰트
지코드뮤직바
번트265
르네상스 티파니
문바
W XYZ 바
클럽 잭 & 리빈
심포니
메이커
세븐
수아쌀롱
아우라
더킹 미션
하이킥 레깅스
하이킥 레깅스 셔츠
마운틴
피터팬
클럽페이스
토요일토요일은가요다
헤븐노래방
코모도7080라이브
요기가노래타운
노래하는LIVE콘서트7080
금사빠노래방
HAEVEN
뮤직홀노래클럽
뻐꾸기 본점
달팽이포차
지안정
박고볼래 실내포차 논현점
한사발포차
신사숙녀
전봇대
계승집
김봉남포장마차 가로수길근처점
후문포차
밀크포차
빨대포차
고래똥
무지개포차
돼지네포차
철수포차
욕쟁이할머니포차
얼짱포차
달인포차 본점
명불허전원조골뱅이 선릉점
성주상회
압구정포차
1번지포차
이모포차
산적포차
ZeNe포차에빠지다
콜
원조실내포장마차
또바기포차
머구리
메쓰핑거 가로수길점
하얀상회
남도회집이어요
박고볼래실내포차
신천포차
썸잉
포차끝판왕 강남점
방울과꼬막
꼼주
칠성룸포차 강남역점
삼촌네포차 문정점
대부포차
김봉남포장마차 신논현점
명불허전원조골뱅이 교대점
성내동껍데기
와따가
하얀집
