,지번주소,도로명주소,사업장명,위도,경도
37,서울특별시 강남구 신사동 657-23 지상2층,서울특별시 강남구 도산대로51길 39 (신사동지상2층),아이언펍(IRON PUB),37.52583783215302,127.03516911114038
38,서울특별시 강남구 신사동 518-14 ,서울특별시 강남구 도산대로11길 31-8 지하1층 (신사동),유희,37.51937331340257,127.01887425609466
39,서울특별시 강남구 신사동 623-2 지하1층 ,서울특별시 강남구 언주로 841 (신사동지하1층),라움(Raum),37.5255595816118,127.03000457645547
40,서울특별시 강남구 역삼동 818-5 혜진빌딩,서울특별시 강남구 강남대로96길 20 혜진빌딩 지상2층 (역삼동),강남비치 강남본점,37.49991392667981,127.02575009664861
41,서울특별시 강남구 청담동 123-37 ,서울특별시 강남구 도산대로89길 17 지상1층 (청담동),잔비워,37.525694725197276,127.04796937272148
42,서울특별시 강남구 신사동 657-40 ,서울특별시 강남구 선릉로157길 13-5 101호 (신사동),야키토리(Yakitori)파노,37.52565916562476,127.03575612022917
43,서울특별시 강남구 신사동 626-76번지 지상1층 ,서울특별시 강남구 언주로153길 16 (신사동지상1층),양철집,37.52271333016592,127.02899129929102
44,서울특별시 강남구 삼성동 112-1번지 ,서울특별시 강남구 봉은사로 404 1층 101호 (삼성동 씨티라이프61),난 플라워카페,37.510142158306415,127.04145782687004
45,서울특별시 강남구 역삼동 736-38,서울특별시 강남구 논현로87길 19 지하1층 (역삼동),인파밀리아 역삼점,37.49943858015375,127.03220749789905
46,서울특별시 강남구 신사동 516-16,서울특별시 강남구 강남대로154길 33 1층 (신사동),식물학,37.51837491780401,127.01877587368173
47,서울특별시 강남구 신사동 642-9번지 ,서울특별시 강남구 언주로170길 35 지상2층 201호 (신사동),예술가,37.52664570744339,127.0336456418197
48,서울특별시 강남구 논현동 202-20 ,서울특별시 강남구 봉은사로 117 1층 (논현동),노포식당 논현본점,37.505322390554696,127.02349972611418
49,서울특별시 강남구 삼성동 49-11 세창빌딩 ,서울특별시 강남구 봉은사로 467 세창빌딩 지상1층 (삼성동),앙마꼬치,37.512551891894326,127.04773428957365
50,서울특별시 강남구 논현동 160-11 ,서울특별시 강남구 강남대로122길 31 지상2층 (논현동),헤비스모커,37.50860354807423,127.02259020709533
51,서울특별시 강남구 논현동 97-8 ,서울특별시 강남구 언주로150길 24 1층 (논현동),모토이시 도산공원점,37.52130827807922,127.0333421870175
52,서울특별시 강남구 삼성동 170-7,서울특별시 강남구 테헤란로107길 6 1층 (삼성동 두양빌딩),봉구비어 삼성동점,37.51027048023168,127.06273791417279
53,서울특별시 강남구 논현동 182-28번지 지상1층 ,서울특별시 강남구 봉은사로1길 32 지상1층 (논현동),김봉남포차 영동시장점,37.506827072851536,127.02159205971178
54,서울특별시 강남구 대치동 922-14번지 지상1층 ,서울특별시 강남구 선릉로66길 8 (대치동지상1층),철수네포장마차,37.49845026199209,127.04968762146794
55,서울특별시 강남구 역삼동 817-34번지 지상3층 ,서울특별시 강남구 강남대로98길 14 (역삼동지상3층),가가린 철우 사주카페,37.5006978477683,127.02494963462205
56,서울특별시 강남구 신사동 642-15번지 삼주빌딩1층 ,서울특별시 강남구 압구정로48길 34 (신사동삼주빌딩1층),슈바빙(SCHWABING),37.5263457297374,127.03389276420687
57,서울특별시 강남구 신사동 664-15,서울특별시 강남구 선릉로157길 8 지하1층 (신사동),레이아웃(Lay-out),37.526070474469705,127.03638912046087
